id,ranking,dish,name,count,stars,full_address
31,3,chow mein,Wasabi Jane's Rice & Noodle Works,1.0,2.5,3377 S Las Vegas Blvd #2610 The Strip Las Vegas  NV 89109
32,4,chow mein,Panda Express,1.0,3.0,4025 E Chandler Blvd Phoenix  AZ 85048
33,5,chow mein,Panda Express,1.0,3.0,1121 S Decatur Blvd Westside Las Vegas  NV 89102
34,6,chow mein,Delicious & Best Chinese Food,1.0,3.0,860 E Twain #121 Eastside Las Vegas  NV 89169
35,7,chow mein,Yummy Yummy,1.0,3.0,28 Warrender Park Road Marchmont Edinburgh EH9 1JG
36,8,chow mein,Panda Express,0.75,3.5,4590 W Sahara Ave Westside Las Vegas  NV 89102
37,9,chow mein,Dragon Garden Express,0.5,2.5,10665 W Indian School Rd Avondale  AZ 85323
38,10,chow mein,Panda Express,0.5,3.5,9230 W Northern Avenue Peoria  AZ 85345
39,11,chow mein,Great Wall Chinese Restaurant,0.5,4.0,2202 W Charleston Blvd Downtown Las Vegas  NV 89102
40,12,chow mein,Panda Express,0.5,3.5,3825 S Maryland Pkwy Eastside Las Vegas  NV 89119
41,13,chow mein,Panda Express,0.5,3.5,1300 W Sunset Rd Henderson  NV 89014
42,14,chow mein,Panda Express,0.5,3.5,120 E Lake Mead Pkwy Henderson  NV 89015
43,15,chow mein,Ah So,0.5,4.0,3500 S Las Vegas Blvd The Strip Las Vegas  NV 89109
44,16,chow mein,Panda Express,0.42857142857142855,3.5,3663 Las Vegas Blvd S Ste 530 Eastside Las Vegas  NV 89109
45,17,chow mein,China Garden,0.38461538461538464,3.0,2263 N Green Valley Pkwy Henderson  NV 89014
46,18,chow mein,Panda Express,0.3333333333333333,3.0,13732 W Bell Rd Surprise  AZ 85374
47,19,chow mein,Panda Express,0.3333333333333333,3.0,1940 Village Center Cir Summerlin Las Vegas  NV 89134
48,20,chow mein,Panda Express,0.3333333333333333,3.0,1714 E Guadalupe Road Tempe  AZ 85283
49,21,chow mein,Panda Express,0.3333333333333333,4.0,Palms Hotel & Casino 4321 W Flamingo Rd Las Vegas  NV 89103
50,22,chow mein,Panda Express,0.3333333333333333,3.0,14850 N Frank Lloyd Wright Blvd Ste 101 Scottsdale  AZ 85260
51,23,chow mein,Yum Yum China,0.3333333333333333,3.0,2000 E Rio Salado Pkwy Tempe  AZ 85281
52,24,chow mein,MB China,0.3333333333333333,5.0,2100 E Lake Mead Blvd North Las Vegas  NV 89030
53,25,chow mein,Hsin Cafe,0.3157894736842105,3.5,120 E Taylor St Ste 150 Phoenix  AZ 85004
54,26,chow mein,Peking Chinese Restaurant,0.25,3.0,2091 McCoy Rd Sun Prairie  WI 53590
55,27,chow mein,China Inn,0.25,3.0,4702 Cottage Grove Rd Rolling Meadows Madison  WI 53716
56,28,chow mein,Canton Wong,0.25,2.5,2545 N 32nd St Phoenix  AZ 85008
57,29,chow mein,Go Go China,0.25,2.0,13636 N Tatum Blvd Ste 10 Phoenix  AZ 85032
58,30,chow mein,My Corner Chinese Restaurant,0.25,3.0,4330 W Union Hills Dr Glendale  AZ 85308
59,31,chow mein,Karen's Unicorn,0.25,4.0,8b Abercromby Place New Town Edinburgh EH3 6LB
60,32,chow mein,New Garden Grove,0.25,4.5,44 Dalkeith Road Newington Edinburgh EH16 5BS
61,33,chow mein,Chopstix,0.22580645161290322,3.5,2381 E Windmill Ln Southeast Las Vegas  NV 89123
62,34,chow mein,Great China,0.2222222222222222,3.5,7045 W Ann Rd Northwest Las Vegas  NV 89130
63,35,chow mein,China Joy,0.2222222222222222,2.5,9775 S Maryland Pkwy Southeast Las Vegas  NV 89183
64,36,chow mein,Pick Up Stix,0.2,4.0,1500 N Green Valley Pkwy Henderson  NV 89074
65,37,chow mein,Little Dumpling,0.2,3.0,9340 W Flamingo Rd Spring Valley Las Vegas  NV 89147
66,38,chow mein,Panda Express,0.2,3.5,195 N Stephanie St Henderson  NV 89074
67,39,chow mein,Rice Garden,0.2,4.0,8053 E Indian School Rd Scottsdale  AZ 85251
68,40,chow mein,Hope Kee,0.18181818181818182,3.5,7575 W Cactus Rd Peoria  AZ 85381
69,41,chow mein,Chopstick Express,0.17647058823529413,3.0,939 E Guadalupe Rd Ste 1 Tempe  AZ 85283
70,42,chow mein,The Lotus,0.17647058823529413,3.5,215 S Water St Henderson  NV 89015
71,43,chow mein,Panda Express,0.16666666666666666,4.0,21001 N Tatum Blvd Ste 1630 Phoenix  AZ 85050
72,44,chow mein,Kwan's Sampan,0.16666666666666666,2.5,1927 N Gilbert Rd Mesa  AZ 85203
73,45,chow mein,New Shanghai Restaurant,0.16666666666666666,2.5,4215 Spring Mountain Road #B205 Chinatown Las Vegas  NV 89102
74,46,chow mein,Panda Express,0.16666666666666666,4.5,5595 Simmons St North Las Vegas  NV 89031
75,47,chow mein,China Garden Restaurant,0.16666666666666666,4.0,31 Avenue University E Waterloo  ON N2J 2V9
76,48,chow mein,Cool Jade Chinese Restaurant,0.16666666666666666,4.5,3-4 Downie Terrace Edinburgh EH12 7AU
77,49,chow mein,Golden Dragon Chinese Cuisine,0.15789473684210525,3.5,6120 W Tropicana Ave Las Vegas  NV 89103
78,50,chow mein,China Way Restaurant,0.15384615384615385,4.0,3021 N  Alma School Rd Chandler  AZ 85224
79,51,chow mein,China A Go Go,0.15384615384615385,3.0,4780 W Ann Rd Ste 3 Northwest North Las Vegas  NV 89031
80,52,chow mein,Chop Chop,0.15384615384615385,3.0,248 Morrison Street West End Edinburgh EH3 8DT
81,53,chow mein,Sing High Chop Suey House,0.14285714285714285,3.0,27 W Madison St Phoenix  AZ 85003
82,54,chow mein,Tao Yuan Chinese Restaurant,0.14285714285714285,3.0,4419 E Main St Ste 117 Mesa  AZ 85205
83,55,chow mein,Chow Mein Express,0.14285714285714285,3.0,3955 S Durango Dr Ste B2 Spring Valley Las Vegas  NV 89147
84,56,chow mein,Jong Wah Chinese Restaurant,0.14285714285714285,3.0,1309 W Guadalupe Rd Mesa  AZ 85202
85,57,chow mein,Golden China,0.14285714285714285,3.5,10720 W Indian School Rd Phoenix  AZ 85037
86,58,chow mein,China A Go Go,0.14285714285714285,4.0,5841 E Charleston Blvd Ste 250 Sunrise Las Vegas  NV 89142
87,59,chow mein,Chop Chop Leith,0.14285714285714285,4.0,76 Commercial Street Leith Edinburgh EH6 6LX
88,60,chow mein,Hong Kong Chinese Cuisine,0.14285714285714285,3.5,1920 W Thunderbird Rd Phoenix  AZ 85023
89,61,chow mein,Liu's Kitchen,0.13043478260869565,3.5,7377 S Jones Blvd Southwest Las Vegas  NV 89139
90,62,chow mein,China Gourmet,0.12903225806451613,4.0,9002 W Sahara Ave Ste A Westside Las Vegas  NV 89117
91,63,chow mein,Cheng's Express,0.125,2.5,5479 S Rainbow Blvd Spring Valley Las Vegas  NV 89118
92,64,chow mein,Oriental Express,0.125,2.5,18631 N 19th Avenue Suite 150 Phoenix  AZ 85027
93,65,chow mein,China Place,0.125,3.0,6725 W Peoria Ave Peoria  AZ 85345
94,66,chow mein,Golden Phoenix Chinese Cuisine,0.125,3.0,2345 E. Centennial Pkwy. North Las Vegas  NV 89081
95,67,chow mein,Karen Wong Chinese Restaurant,0.125,4.0,107 Saint Leonard's Street Newington Edinburgh EH8 9QY
96,68,chow mein,Chen's Garden,0.1111111111111111,3.5,16720 E Ave of the Fountains Fountain Hills  AZ 85268
97,69,chow mein,Asian Hong Kong,0.1111111111111111,3.5,9880 S Rural Rd Tempe  AZ 85284
98,70,chow mein,Food Express,0.1111111111111111,3.0,Palace Station Casino 2411 W Sahara Avenue Westside Las Vegas  NV 89102
99,71,chow mein,Golden Gate Chinese Restaurant,0.1111111111111111,3.5,1654 W Warm Springs Rd Henderson  NV 89014
100,72,chow mein,Asian Garden,0.1111111111111111,3.5,560 N Nellis Blvd Ste E10 Sunrise Las Vegas  NV 89110
101,73,chow mein,Big Heng,0.1111111111111111,4.5,1739 W Glendale Ave Phoenix  AZ 85021
102,74,chow mein,Hao,0.1111111111111111,3.5,11849 N Saguaro Blvd Fountain Hills  AZ 85268
103,75,chow mein,Red Mansion,0.1111111111111111,3.5,Downtown Grand Casino and Hotel 206 N 3rd St Las Vegas  NV 89101
104,76,chow mein,China One,0.10869565217391304,3.5,7080 N Durango Dr Ste 130 Centennial Las Vegas  NV 89149
105,77,chow mein,China Tango,0.10638297872340426,4.0,1500 N Green Valley Pkwy Henderson  NV 89074
106,78,chow mein,China Red Cafe,0.10344827586206896,4.0,13000 W Indian School Rd Ste A 1 Litchfield Park  AZ 85340
107,79,chow mein,China One,0.10344827586206896,4.0,921 S Rainbow Blvd Westside Las Vegas  NV 89145
108,80,chow mein,Lao Ching Hing,0.1,3.0,Cofco Chinese Cultural Ctr 668 N 44th St Phoenix  AZ 85008
109,81,chow mein,China Village,0.1,4.0,2710 E Indian School Rd Phoenix  AZ 85016
110,82,chow mein,Chinese Gourmet Buffet,0.1,3.0,2386 N Alma School Rd Chandler  AZ 85224
111,83,chow mein,Joyful Chinese Dining,0.1,3.5,9699 N Hayden Rd Scottsdale  AZ 85258
112,84,chow mein,Abacus Inn,0.1,4.0,3509 W Thunderbird Rd Phoenix  AZ 85053
113,85,chow mein,Gourmet Wok,0.1,3.0,7638 Westcliff Dr Westside Las Vegas  NV 89145
114,86,chow mein,China A Go Go,0.1,3.5,2101 N Rainbow Blvd Ste 101 Las Vegas  NV 89108
115,87,chow mein,China a Go Go,0.0975609756097561,4.0,505 E Windmill Ave Ste D Southeast Las Vegas  NV 89123
116,88,chow mein,Little Shanghai,0.09523809523809523,3.5,4017 E Indian School Rd Phoenix  AZ 85018
117,89,chow mein,Golden China Chinese Cuisine,0.09523809523809523,3.5,3830 E Flamingo Rd Ste E4 Eastside Las Vegas  NV 89121
118,90,chow mein,Wong's Garden,0.09090909090909091,3.5,2044 Atwood Ave Schenk - Atwood Madison  WI 53704
119,91,chow mein,Canton Dragon,0.09090909090909091,4.0,7307 W Indian School Rd Phoenix  AZ 85033
120,92,chow mein,Yen Ching,0.09090909090909091,3.5,126 S Power Rd Mesa  AZ 85206
121,93,chow mein,Lotus Garden Cuisine,0.09090909090909091,4.0,6435 S Rainbow Blvd Spring Valley Las Vegas  NV 89118
122,94,chow mein,Little Dragon Chinese Restaurant,0.08333333333333333,3.5,4327 W Thomas Rd Phoenix  AZ 85031
123,95,chow mein,Wing Hing,0.08333333333333333,4.0,7420 W Cactus Rd Peoria  AZ 85381
124,96,chow mein,Saigon Saigon,0.08333333333333333,3.5,14 S St Andrew St New Town Edinburgh EH2 2AZ
125,97,chow mein,Buffet Asia,0.08163265306122448,3.0,2380 S Rainbow Blvd Westside Las Vegas  NV 89146
126,98,chow mein,George & Son's Asian Cuisine,0.07894736842105263,4.0,11291 E Via Linda Scottsdale  AZ 85259
127,99,chow mein,Hong Kong Restaurant,0.07692307692307693,3.5,2328 E Indian School Rd Phoenix  AZ 85016
128,100,chow mein,Golden Flower Chinese Cuisine,0.07575757575757576,4.0,3315 E Russell Rd Southeast Las Vegas  NV 89120
129,101,chow mein,Koji Restaurant,0.07407407407407407,3.5,4500 W Tropicana Ave Las Vegas  NV 89103
130,102,chow mein,Yummy Grill & Sushi,0.07407407407407407,3.5,9711 S Eastern Ave Southeast Las Vegas  NV 89183
131,103,chow mein,China Grill,0.07407407407407407,3.5,7518 W Thunderbird Rd Ste 3 Peoria  AZ 85381
132,104,chow mein,Desert Jade,0.07352941176470588,4.0,3215 E Indian School Rd Phoenix  AZ 85018
133,105,chow mein,Bamboo China Restaurant,0.07142857142857142,3.5,7575 N 16th St Phoenix  AZ 85020
134,106,chow mein,Dragon Palace,0.07142857142857142,4.0,13825 N 32nd St Phoenix  AZ 85032
135,107,chow mein,Diamond's Chinese Restaurant,0.07142857142857142,3.0,4402 N 7th Ave Phoenix  AZ 85013
136,108,chow mein,Great Wall Chinese Restaurant,0.07142857142857142,4.0,6832 S Kings Ranch Rd Ste 1 Gold Canyon  AZ 85118
137,109,chow mein,Wahsun Chinese Restaurant,0.06818181818181818,4.0,8056 N 19th Ave Phoenix  AZ 85021
138,110,chow mein,Iron Chef,0.06818181818181818,4.0,23706 S Power Rd Queen Creek  AZ 85242
139,111,chow mein,Gourmet House of Hong Kong,0.06666666666666667,3.5,1438 E McDowell Rd Phoenix  AZ 85006
140,112,chow mein,Anna's Garden,0.06666666666666667,3.5,5740 Spring Mountain Rd Chinatown Las Vegas  NV 89146
141,113,chow mein,Yan's Chinese Food #2,0.06666666666666667,4.0,9140 W Thomas Rd Ste B103 Phoenix  AZ 85037
142,114,chow mein,China A Go Go,0.06666666666666667,3.5,5960 N Losee Rd North Las Vegas  NV 89081
143,115,chow mein,Tam's,0.0625,4.0,1714 E Broadway Rd Phoenix  AZ 85040
144,116,chow mein,Sam Woo BBQ Restaurant,0.0625,2.0,4215 Spring Mountain Rd Ste B101 Chinatown Las Vegas  NV 89102
145,117,chow mein,Lychee Inn,0.0625,4.0,1138 E Baseline Rd Tempe  AZ 85283
146,118,chow mein,Rice n Noodle,0.0625,3.5,7910 S Rainbow Blvd Ste 105 Southwest Las Vegas  NV 89139
147,119,chow mein,China Restaurant,0.058823529411764705,4.0,4709 E Southern Avenue Phoenix  AZ 85042
148,120,chow mein,Diamond Chinese Restaurant,0.058823529411764705,4.0,3449 Industrial Rd Las Vegas  NV 89109
149,121,chow mein,The Wok Express,0.058823529411764705,4.0,4835 E Greenway Rd Phoenix  AZ 85034
150,122,chow mein,J & J Szechuan Cuisine,0.058823529411764705,4.0,5700 Spring Mountain Rd Ste A Chinatown Las Vegas  NV 89146
151,123,chow mein,China A GoGo,0.058823529411764705,4.0,10140 W Tropicana Ave Ste 123 Spring Valley Las Vegas  NV 89147
152,124,chow mein,The Original Las Vegas Buffet,0.058823529411764705,3.0,4300 E Sunset Rd Unit C Henderson  NV 89014
153,125,chow mein,China One,0.05714285714285714,3.5,11710 W Charleston Blvd Ste 140 Summerlin Las Vegas  NV 89138
154,126,chow mein,Food Express Chinese Restaurant,0.056818181818181816,4.0,2003 S Decatur Blvd Ste B Westside Las Vegas  NV 89102
155,127,chow mein,Volcano Buffet,0.05555555555555555,3.0,805 N Dobson Rd Mesa  AZ 85201
156,128,chow mein,China Gourmet,0.05555555555555555,4.0,2585 S. Nellis Blvd Ste 7 Sunrise Las Vegas  NV 89121
157,129,chow mein,China Mama Restaurant,0.05405405405405406,3.5,3420 S Jones Blvd Chinatown Las Vegas  NV 89136
158,130,chow mein,Wo Fat,0.05357142857142857,3.5,3700 E Desert Inn Rd Ste 1 Eastside Las Vegas  NV 89121
159,131,chow mein,Wendy's Noodle Cafe,0.05314009661835749,4.0,3401 S Jones Blvd Chinatown Las Vegas  NV 89146
160,132,chow mein,Hong Kong Gourmet Buffet,0.05263157894736842,3.5,4909 E Chandler Blvd Phoenix  AZ 85048
161,133,chow mein,Diamond China Restaurant,0.05263157894736842,3.5,3909 W Sahara Ave Westside Las Vegas  NV 89102
162,134,chow mein,Tao Garden,0.05263157894736842,4.0,2050 N Alma School Rd Chandler  AZ 85224
163,135,chow mein,Dragon Noodle Co.,0.05128205128205128,2.5,Monte Carlo Resort & Casino 3770 Las Vegas Blvd S The Strip Las Vegas  NV 89109
164,136,chow mein,Flamingo Palace,0.05,3.5,350 E Bell Rd Ste 3 Phoenix  AZ 85022
165,137,chow mein,J & K Gourmet,0.04878048780487805,4.0,2540 S Val Vista Dr Ste 106 Gilbert  AZ 85296
166,138,chow mein,Red Wok Buffet,0.047619047619047616,3.0,3434 E Thomas Rd Phoenix  AZ 85018
167,139,chow mein,Tott's Asian Diner,0.04678362573099415,4.0,4030 W Ray Rd Ste 1 Chandler  AZ 85226
168,140,chow mein,China A Go Go,0.045454545454545456,3.5,75 S Valle Verde Dr Ste 240 Henderson  NV 89012
169,141,chow mein,Lillie's Asian Cuisine,0.045454545454545456,3.5,Golden Nugget Hotel & Casino 129 E Fremont St Downtown Las Vegas  NV 89101
170,142,chow mein,Pan Asia Sushi Chinese Fusion,0.045454545454545456,3.0,2485 E Baseline Rd Ste 157 Phoenix  AZ 85042
171,143,chow mein,Shanghai Grill,0.045454545454545456,4.0,9044 W Union Hills Dr Ste 101 Peoria  AZ 85382
172,144,chow mein,China Tango Bistro,0.045454545454545456,3.0,10300 W Charleston Blvd Ste 5 Summerlin Las Vegas  NV 89135
173,145,chow mein,Blossom,0.04477611940298507,4.0,Aria Resort and Casino 3735 Las Vegas Blvd S The Strip Las Vegas  NV 89109
174,146,chow mein,Buffet at Asia,0.043478260869565216,2.5,4090 S Eastern Ave Eastside Las Vegas  NV 89119
175,147,chow mein,Ocha Cuisine,0.04285714285714286,4.0,1201 Las Vegas Blvd S Downtown Las Vegas  NV 89104
176,148,chow mein,Long Life Vege Restaurant,0.041666666666666664,4.0,4130 S Sandhill Rd Ste A4 Eastside Las Vegas  NV 89121
177,149,chow mein,Grand China,0.041666666666666664,3.5,75 E Horizon Ridge Pkwy Ste 120 Henderson  NV 89002
178,150,chow mein,Shangri-La Chinese Cuisine,0.041666666666666664,3.5,18561 N 59th Ave Ste 122 Glendale  AZ 85308
179,151,chow mein,George and Sons,0.041666666666666664,4.5,3049 W Agua Fria Fwy Phoenix  AZ 85027
180,152,chow mein,New York Chinese Restaurant,0.04,3.5,3555 S Fort Apache Rd Spring Valley Las Vegas  NV 89147
181,153,chow mein,Nee House Chinese Restaurant,0.039473684210526314,3.5,13843 N Tatum Blvd Ste 15 Phoenix  AZ 85032
182,154,chow mein,Wong's Place,0.0392156862745098,4.0,1825 E Baseline Rd. Tempe  AZ 85283
183,155,chow mein,Phoenix Palace,0.038834951456310676,3.5,2075 N Dobson Rd Chandler  AZ 85224
184,156,chow mein,Asian Cafe Express,0.038461538461538464,4.5,1911 W Main St Ste 3 Mesa  AZ 85201
185,157,chow mein,Jade House,0.038461538461538464,3.0,2711 S Alma School Rd Mesa  AZ 85210
186,158,chow mein,Yummy Yummy Chinese Restaurant,0.038461538461538464,3.0,2765 N Scottsdale Rd Ste 105 Scottsdale  AZ 85257
187,159,chow mein,Dim Sum Cafe,0.038461538461538464,3.5,3700 S Hualapai Way Ste 101 South Summerlin Las Vegas  NV 89147
188,160,chow mein,KJ Kitchen,0.03787878787878788,3.5,5960 Spring Mountain Rd Chinatown Las Vegas  NV 89146
189,161,chow mein,C-Fu Gourmet Restaurant,0.037037037037037035,3.5,2051 W Warner Rd Ste 13 Chandler  AZ 85224
190,162,chow mein,Harbor Palace,0.037037037037037035,2.5,4275 Spring Mountain Rd Chinatown Las Vegas  NV 89102
191,163,chow mein,New China Cuisine,0.037037037037037035,3.5,5515 Camino Al Norte North Las Vegas  NV 89031
192,164,chow mein,Xo Chinese Food,0.037037037037037035,3.0,8090 Blue Diamond Rd Southwest Las Vegas  NV 89113
193,165,chow mein,Great Wall Cuisine,0.03669724770642202,4.0,5057 N 35th Ave Phoenix  AZ 85017
194,166,chow mein,Pei Wei Asian Diner,0.03571428571428571,3.5,4340 E Indian School Rd. Bldg. A Suite 23 Phoenix  AZ 85018
195,167,chow mein,Wong's Chinese Dining,0.03571428571428571,4.5,1137 E Buckeye Rd Phoenix  AZ 85034
196,168,chow mein,Shangri-La Chinese,0.03571428571428571,4.0,2855 W Cactus Rd Phoenix  AZ 85029
197,169,chow mein,Pei Wei Asian Diner,0.03571428571428571,3.5,10830 W Charleston Blvd. Suite 110 Summerlin Las Vegas  NV 89135
198,170,chow mein,Yunnan Garden,0.03571428571428571,4.0,3934 Schiff Dr Chinatown Las Vegas  NV 89103
199,171,chow mein,Szechwan Palace,0.03571428571428571,4.0,2386 N Alma School Rd Chandler  AZ 85224
200,172,chow mein,New York Chinese Restaurant,0.034482758620689655,3.5,9430 W Lake Mead Blvd Ste 1 Summerlin Las Vegas  NV 89134
201,173,chow mein,HK Seafood Garden,0.034482758620689655,4.0,4300 W Spring Mountain Rd Unit 103  104  105 Chinatown Las Vegas  NV 89102
202,174,chow mein,Bund Shanghai,0.034482758620689655,3.5,3545 S Decatur Blvd Ste A Chinatown Las Vegas  NV 89103
203,175,chow mein,Noodles,0.033816425120772944,3.0,Bellagio Resort &Casino 3600 S Las Vegas Blvd The Strip Las Vegas  NV 89109
204,176,chow mein,Noodle Shop,0.03333333333333333,2.0,Mandalay Bay Resort & Casino 3950 S Las Vegas Boulevard The Strip Las Vegas  NV 89109
205,177,chow mein,Yummy Grill Sushi,0.03225806451612903,3.5,560 Marks St Henderson  NV 89014
206,178,chow mein,Baidu China Bistro,0.03225806451612903,3.5,7625 S Rainbow Blvd Ste 100 Southwest Las Vegas  NV 89139
207,179,chow mein,Beijing Noodle No. 9,0.03225806451612903,2.5,Caesars Palace 3570 Las Vegas Blvd S The Strip Las Vegas  NV 89109
208,180,chow mein,Chop and Wok,0.03225806451612903,3.0,10425 N Scottsdale Road Scottsdale  AZ 85253
209,181,chow mein,Qwik Chinese,0.03125,3.5,7353 N Via Paseo Del Sur Ste 490 Scottsdale  AZ 85258
210,182,chow mein,Noodle Palace,0.03125,3.5,5115 Spring Mountain Rd Ste 203 Chinatown Las Vegas  NV 89146
211,183,chow mein,Golden Gate Chinese Restaurant,0.03076923076923077,4.0,2640 W Baseline Rd Mesa  AZ 85202
212,184,chow mein,Shanghai Club,0.030303030303030304,3.5,3434 W Anthem Way Ste 118 Anthem  AZ 85086
213,185,chow mein,Best Hong Kong Dining,0.030303030303030304,3.5,1116 S Dobson Rd Ste 123 Mesa  AZ 85202
214,186,chow mein,Wong's Restaurant,0.030303030303030304,4.0,10540 W Indian School Rd Phoenix  AZ 85037
215,187,chow mein,Noodle & Rice,0.029411764705882353,4.0,2017 E Cactus Rd Ste G Phoenix  AZ 85022
216,188,chow mein,Beijing Noodle Cafe,0.029197080291970802,4.0,4130 S Sandhill Rd Eastside Las Vegas  NV 89121
217,189,chow mein,Yao Fine Chinese Cuisine,0.02857142857142857,4.0,2487 S Gilbert Rd Ste 102 Gilbert  AZ 85295
218,190,chow mein,Pei Wei Asian Diner,0.027777777777777776,3.5,7131 W Ray Rd. Bldg. 1 Suite 3 Chandler  AZ 85226
219,191,chow mein,King Wong Chinese Food,0.02702702702702703,4.5,2545 N 32nd St Phoenix  AZ 85008
220,192,chow mein,Hong Kong Garden Seafood & BBQ Cafe,0.02631578947368421,3.5,3407 S. Jones Blvd Chinatown Las Vegas  NV 89146
221,193,chow mein,Szechwan Palace,0.025974025974025976,3.5,Cofco Chinese Cultural Center 668 N 44th St  Ste 108 Phoenix  AZ 85008
222,194,chow mein,HK Star,0.02564102564102564,3.5,3400 S Jones Blvd Ste # 15 Chinatown Las Vegas  NV 89146
223,195,chow mein,Three Villages Restaurant,0.02564102564102564,4.0,5115 W Spring Mountain Rd Chinatown Las Vegas  NV 89103
224,196,chow mein,Fin,0.025,3.5,The Mirage Hotel and  Casino 3400 Las Vegas Blvd S The Strip Las Vegas  NV 89109
225,197,chow mein,Flo's,0.024691358024691357,3.5,16495 N Scottsdale Rd Scottsdale  AZ 85254
226,198,chow mein,Long Jin Chinese Cuisine,0.024390243902439025,4.0,4825 S Rainbow Blvd Ste 204-205 Spring Valley Las Vegas  NV 89103
227,199,chow mein,Big Buddha,0.024096385542168676,4.0,16572 W Greenway Rd Ste 115 Surprise  AZ 85388
228,200,chow mein,Li's Bowl,0.02127659574468085,4.0,6260 S 35th Ave Phoenix  AZ 85041
229,201,chow mein,Big Heng,0.02040816326530612,4.0,7530 W Peoria Ave Ste A Peoria  AZ 85345
230,202,chow mein,China Chili,0.020134228187919462,4.0,302 E Flower St Phoenix  AZ 85012
231,203,chow mein,Mekong Palace,0.02,3.5,66 S Dobson Rd Ste 120 Mesa  AZ 85202
232,204,chow mein,Jasmine Express,0.0196078431372549,3.0,5546 Camino Al Norte North Las Vegas  NV 89031
233,205,chow mein,Siu Wok,0.0196078431372549,3.5,3815 N Central Ave Ste A Phoenix  AZ 85012
234,206,chow mein,Asian Island,0.0196078431372549,4.0,14870 N Northsight Blvd Ste 103 Scottsdale  AZ 85260
